type,type_priority,item_name,item_url
Knowledge,0,['Category:Film production companies of Ukraine'],https://www.wikidata.org/wiki/Q13262238
Knowledge,0,"[""In Daddy's Pocket""]",https://www.wikidata.org/wiki/Q12317972
Knowledge,0,['Category:1959 in tennis'],https://www.wikidata.org/wiki/Q17404207
Knowledge,0,['No label defined'],https://www.wikidata.org/wiki/Q22563390
Knowledge,0,[],https://www.wikidata.org/wiki/Q16600503
Books,0,['Ship Resistance'],['https://www.wikidata.org/wiki/Special:NewItem?site=enwikibooks&amp;page=Ship+Resistance']
Books,0,['Chess Strategy'],['https://www.wikidata.org/wiki/Special:NewItem?site=enwikibooks&amp;page=Chess+Strategy']
Books,0,['Cookbook:Bengal Potatoes'],['https://www.wikidata.org/wiki/Special:NewItem?site=enwikibooks&amp;page=Cookbook%3ABengal+Potatoes']
Books,0,['Immunology'],['https://www.wikidata.org/wiki/Special:EntityPage/Q101929#sitelinks-wikibooks']
Books,0,['Macedonian'],['https://www.wikidata.org/wiki/Special:EntityPage/Q9296#sitelinks-wikibooks']
Books,0,['Cookbook:Holzknechtnocken'],['https://www.wikidata.org/wiki/Special:NewItem?site=enwikibooks&amp;page=Cookbook%3AHolzknechtnocken']
Books,0,['Legal and Regulatory Issues in the Information Economy'],['https://www.wikidata.org/wiki/Special:NewItem?site=enwikibooks&amp;page=Legal+and+Regulatory+Issues+in+the+Information+Economy']
Books,0,['Cookbook:Southern Cornbread'],['https://www.wikidata.org/wiki/Special:NewItem?site=enwikibooks&amp;page=Cookbook%3ASouthern+Cornbread']
Books,0,['Pixlr Editor'],['https://www.wikidata.org/wiki/Special:EntityPage/Q19367531#sitelinks-wikibooks']
Books,0,['Teaching Elementary School Health Education'],['https://www.wikidata.org/wiki/Special:NewItem?site=enwikibooks&amp;page=Teaching+Elementary+School+Health+Education']
Quotes,0,"['\\\\n\', \'All the bloodshed caused by the warlike disposition of <a href=""/wiki/Napoleon_I_of_France"" title=""Napoleon I of France"">Napoleon</a> is as nothing compared to the myriads of persons who have sunk into their graves through a misplaced confidence in the value of beef tea.\\\\n']",['https://en.wikiquote.org/w/index.php?title=John_Milner_Fothergill&amp;oldid=2209461']
Quotes,0,"['\\\\n\', ""<b>Getting down to brass tacks, how in the Hell are you going to explain general American n- \'I\' except genetically?</b> It\'s disturbing, I know, but (more) non-committal conservatism is only dodging, after all, isn\'t it? Great simplifications are in store for us. \\\\u2026 It seems to me that only now that is American linguistics becoming really interesting, at least in its ethnological bearings.\\\\n']",['https://en.wikiquote.org/w/index.php?title=Edward_Sapir&amp;oldid=2242315']
Quotes,0,"[""\\\\n', 'For the future I cease, Death approaches with little delay,<br/>\\\\nSince the dragons of Laune and Lane and Lee are destroyed;<br/>\\\\nI\\\\u2019ll follow the heroes far from the light of day,<br/>\\\\nThe princes my ancestors followed before Christ died.\\\\n""]",['https://en.wikiquote.org/w/index.php?title=Egan_O%27Rahilly&amp;oldid=1562506']
Music,0,Robot_E,https://robote.bandcamp.com
Music,0,Cricket,https://cricket2.bandcamp.com
Music,0,Stormatron 6000,https://stormatron6000.bandcamp.com
